title,source_country,date,url,clean_text,headline_length_words,month
Gazzede can kaybı 72 bin 126  ya yükseldi,Turkey,2026-03-08 11:15:00,https://www.haberler.com/3-sayfa/gazze-deki-can-kaybi-72-bin-126-ya-yukseldi-19636793-haberi/,gazzede can kaybı 72 bin 126 ya yükseldi,8,2026-03
İsrail Enerji Bakanından işgal altındaki Batı Şeriada enerji santralleri kurulacağı açıklaması,Turkey,2026-04-06 21:00:00,https://www.bursahakimiyet.com.tr/dunya/israil-enerji-bakanindan-isgal-altindaki-bati-seria-da-enerji-santralleri-kurulacagi-aciklamasi-1605930,i srail enerji bakanından işgal altındaki batı şeriada enerji santralleri kurulacağı açıklaması,12,2026-04
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada 11 Filistinli aileyi yerinden etti",Turkey,2026-03-08 19:45:00,https://www.haberler.com/guncel/israil-in-bati-seria-daki-saldirilari-11-filistinli-aileyi-yerinden-etti-19638275-haberi/,filistin topraklarını gasbeden i srailliler batı şeriada 11 filistinli aileyi yerinden etti,12,2026-03
BM açıkladı : Gazzede tüm insani yardım hareketleri engellendi,Turkey,2026-03-13 21:15:00,https://dogruhaber.com.tr/bm-acikladi-gazzede-tum-insani-yardim-hareketleri-engellendi,bm açıkladı gazzede tüm insani yardım hareketleri engellendi,8,2026-03
Küresel Sumud Filosu aynı hedef ve genişleyen stratejisiyle Gazzeye doğru yola çıkıyor,Turkey,2026-04-12 07:15:00,https://www.haberler.com/guncel/kuresel-sumud-filosu-gazze-ye-dogru-yola-cikiyor-19741230-haberi/,küresel sumud filosu aynı hedef ve genişleyen stratejisiyle gazzeye doğru yola çıkıyor,12,2026-04
Gazzede can kaybı 72 bin 134  e ulaştı - Internet Haber,Turkey,2026-03-10 12:45:00,https://www.internethaber.com/gazzede-can-kaybi-72-bin-134e-ulasti-2434640h.htm,gazzede can kaybı 72 bin 134 e ulaştı internet haber,10,2026-03
Cumhurbaşkanı Erdoğan : Filistini unutmuyoruz,Turkey,2026-03-13 18:30:00,https://www.internethaber.com/cumhurbaskani-erdogan-filistini-unutmuyoruz-2435213h.htm,cumhurbaşkanı erdoğan filistini unutmuyoruz,4,2026-03
"BM yetkilisi , işgal altındaki Filistin topraklarına saldırıların  endişe verici oranda  arttığını belirtti",Turkey,2026-03-25 04:15:00,https://www.trthaber.com/haber/dunya/bm-yetkilisi-isgal-altindaki-filistin-topraklarina-saldirilarin-endise-verici-oranda-arttigini-belirtti-938966.html,bm yetkilisi işgal altındaki filistin topraklarına saldırıların endişe verici oranda arttığını belirtti,12,2026-03
Siyonist İsrailin Camilerin yanı sıra Hristiyanlara ait kilise ve sembolleri hedef alan saldırıları tepki çekti,Turkey,2026-04-21 16:30:00,https://video.haber7.com/video-galeri/362013-siyonist-israilin-camilerin-yani-sira-hristiyanlara-ait-kilise-ve-sembolleri-hedef-alan-saldirilari-tepki-cekti,siyonist i srailin camilerin yanı sıra hristiyanlara ait kilise ve sembolleri hedef alan saldırıları tepki çekti,16,2026-04
Rusya : Filistin meselesi göz ardı edilmemeli,Turkey,2026-04-10 22:45:00,https://www.ensonhaber.com/dunya/rusya-filistin-meselesi-goz-ardi-edilmemeli,rusya filistin meselesi göz ardı edilmemeli,6,2026-04
